CODIGO,NOMBRES Y APELLIDOS,ESCUELA PROFESIONAL,PUNTAJE,ORDEN DE MÉRITO,RESULTADO
385050,,,,,
393558,,,,,
364592,,,,,
377116,,,,,
370477,,,,,
353096,,,,,
368129,,,,,ALCANZÓ VACANTE
336970,,,,,
349494,,,,,ALCANZÓ VACANTE
329633,,,,,ALCANZÓ VACANTE
363097,,,,,
787311,,,,,
728788,,,,,ALCANZÓ VACANTE
783990,,,,,
804204,,,,,ALCANZÓ VACANTE
837262,,,,,
764456,,,,,
702544,,,,,ALCANZÓ VACANTE
767752,,,,,ALCANZÓ VACANTE
770222,,,,,
706773,,,,,
788682,,,,,ALCANZÓ VACANTE
731718,,,,,
689397,,,,,ALCANZÓ VACANTE
821423,,,,,
764224,,,,,
797532,,,,,
687433,,,,,
785747,,,,,
713666,,,,,
711856,,,,,
752755,,,,,ALCANZÓ VACANTE
824304,,,,,
767235,,,,,
699103,,,,,
764741,,,,,
763328,,,,,
700935,,,,,
695503,,,,,
768423,,,,,
696429,,,,,ALCANZÓ VACANTE
690215,,,,,
703284,,,,,ALCANZÓ VACANTE
646151,,,,,
569168,,,,,ALCANZÓ VACANTE
656429,,,,,
591709,,,,,
550021,,,,,
588747,,,,,
592483,,,,,ALCANZÓ VACANTE
658882,,,,,ALCANZÓ VACANTE
565075,,,,,ALCANZÓ VACANTE
648451,,,,,ALCANZÓ VACANTE
697090,,,,,ALCANZÓ VACANTE
151780,,,,,ALCANZÓ VACANTE
877338,,,,,ALCANZÓ VACANTE
847575,,,,,
888620,,,,,
853223,,,,,
872759,,,,,
867128,,,,,Articulo N° 5 del Reglamento de Admisión 2026-II
359882,,,,,ALCANZÓ VACANTE
369983,,,,,
330594,,,,,ALCANZÓ VACANTE
372174,,,,,ALCANZÓ VACANTE
377343,,,,,ALCANZÓ VACANTE
168487,,,,,ALCANZÓ VACANTE
146127,,,,,
652904,,,,,ALCANZÓ VACANTE
573348,,,,,ALCANZÓ VACANTE
594030,,,,,ALCANZÓ VACANTE
695419,,,,,ALCANZÓ VACANTE
658655,,,,,ALCANZÓ VACANTE
647648,,,,,
159759,,,,,ALCANZÓ VACANTE
854610,,,,,
880940,,,,,
876779,,,,,ALCANZÓ VACANTE
852120,,,,,
346430,,,,,ALCANZÓ VACANTE
792355,,,,,ALCANZÓ VACANTE
820205,,,,,ALCANZÓ VACANTE
773792,,,,,ALCANZÓ VACANTE
198944,,,,,ALCANZÓ VACANTE
385896,,,,,ALCANZÓ VACANTE
394281,,,,,ALCANZÓ VACANTE
312428,,,,,Articulo N° 5 del Reglamento de Admisión 2026-II
343366,,,,,ALCANZÓ VACANTE
312912,,,,,ALCANZÓ VACANTE
316829,,,,,ALCANZÓ VACANTE
769583,,,,,ALCANZÓ VACANTE
742585,,,,,ALCANZÓ VACANTE
736601,,,,,ALCANZÓ VACANTE
759380,,,,,
701678,,,,,
788186,,,,,
790089,,,,,
747902,,,,,ALCANZÓ VACANTE
719032,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
725097,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
831283,,,,,ALCANZÓ VACANTE
823683,,,,,
156452,,,,,ALCANZÓ VACANTE
189862,,,,,
194011,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
199386,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
139472,,,,,
187755,,,,,ALCANZÓ VACANTE
189699,,,,,
188000,,,,,
160126,,,,,
181724,,,,,
128069,,,,,
113699,,,,,ALCANZÓ VACANTE
134324,,,,,ALCANZÓ VACANTE
107202,,,,,
155177,,,,,
897946,,,,,
864227,,,,,
882613,,,,,
860593,,,,,
863060,,,,,AUSENTE
855508,,,,,
877427,,,,,
873212,,,,,
890842,,,,,
860045,,,,,
869789,,,,,ALCANZÓ VACANTE
896418,,,,,
868537,,,,,
876187,,,,,
891951,,,,,
854425,,,,,
881425,,,,,
886951,,,,,
862470,,,,,
895155,,,,,
893332,,,,,
856460,,,,,
845106,,,,,
897652,,,,,
210170,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
333547,,,,,AUSENTE
375425,,,,,ALCANZÓ VACANTE
311300,,,,,ALCANZÓ VACANTE
362116,,,,,
372320,,,,,ALCANZÓ VACANTE
333538,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
392004,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
331838,,,,,ALCANZÓ VACANTE
391084,,,,,
369350,,,,,
314933,,,,,ALCANZÓ VACANTE
334941,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
322170,,,,,
359130,,,,,
357996,,,,,
329454,,,,,
318824,,,,,ALCANZÓ VACANTE
311464,,,,,ALCANZÓ VACANTE
366922,,,,,
389220,,,,,
380003,,,,,
364406,,,,,
390830,,,,,ALCANZÓ VACANTE
399360,,,,,
364907,,,,,ALCANZÓ VACANTE
325239,,,,,ALCANZÓ VACANTE
340735,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
706136,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
171577,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
101223,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
149034,,,,,
196705,,,,,ALCANZÓ VACANTE
829738,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
589675,,,,,
647047,,,,,ALCANZÓ VACANTE
653535,,,,,
648531,,,,,
657501,,,,,
728937,,,,,
693910,,,,,ALCANZÓ VACANTE
688735,,,,,
744188,,,,,
792101,,,,,
727992,,,,,
839449,,,,,
757819,,,,,
778265,,,,,
758419,,,,,
744301,,,,,
813183,,,,,
771011,,,,,
703625,,,,,ALCANZÓ VACANTE
814373,,,,,
649974,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
659649,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
712470,,,,,
814962,,,,,ALCANZÓ VACANTE
786409,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
822804,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
645280,,,,,ALCANZÓ VACANTE
592776,,,,,ALCANZÓ VACANTE
654229,,,,,
650188,,,,,
107872,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
119049,,,,,ALCANZÓ VACANTE
186122,,,,,
825913,,,,,ALCANZÓ VACANTE
803866,,,,,
162861,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
155560,,,,,
196878,,,,,ALCANZÓ VACANTE
183158,,,,,
161198,,,,,ALCANZÓ VACANTE
183695,,,,,
186821,,,,,
124884,,,,,
181209,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
211928,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
124557,,,,,
164998,,,,,ALCANZÓ VACANTE
161127,,,,,
158926,,,,,
867873,,,,,
868616,,,,,
865482,,,,,
880693,,,,,
881432,,,,,
888383,,,,,
875499,,,,,
851183,,,,,
885534,,,,,
898299,,,,,
881471,,,,,
861821,,,,,
849499,,,,,
862461,,,,,
862508,,,,,
864868,,,,,
846757,,,,,
876049,,,,,
867045,,,,,
877294,,,,,
868836,,,,,
870431,,,,,
872490,,,,,
852900,,,,,
852416,,,,,
899757,,,,,
898889,,,,,AUSENTE
869360,,,,,
885508,,,,,
852813,,,,,
886095,,,,,
882906,,,,,ALCANZÓ VACANTE
872762,,,,,
860090,,,,,
850353,,,,,
873514,,,,,
847861,,,,,
866006,,,,,
867180,,,,,
892829,,,,,
889297,,,,,
897585,,,,,
849653,,,,,
867631,,,,,
862437,,,,,
826464,,,,,AUSENTE
695660,,,,,ALCANZÓ VACANTE
719054,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
372107,,,,,ALCANZÓ VACANTE
351203,,,,,
352006,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
370661,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
367971,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
375794,,,,,ALCANZÓ VACANTE
338590,,,,,ALCANZÓ VACANTE
334286,,,,,AUSENTE
342743,,,,,ALCANZÓ VACANTE
395820,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
383682,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
350631,,,,,
343064,,,,,ALCANZÓ VACANTE
355755,,,,,
358113,,,,,
361714,,,,,ALCANZÓ VACANTE
398082,,,,,ALCANZÓ VACANTE
311795,,,,,
360635,,,,,
373410,,,,,
388752,,,,,ALCANZÓ VACANTE
358566,,,,,
360135,,,,,
387477,,,,,
740458,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
216713,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
215930,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
686681,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
106196,,,,,ALCANZÓ VACANTE
187733,,,,,
188373,,,,,
217889,,,,,ALCANZÓ VACANTE
215009,,,,,
215018,,,,,
160730,,,,,
144503,,,,,ALCANZÓ VACANTE
705598,,,,,
827571,,,,,
828696,,,,,
703105,,,,,
802567,,,,,
694023,,,,,
708745,,,,,
752421,,,,,ALCANZÓ VACANTE
819421,,,,,
738829,,,,,
757931,,,,,
823884,,,,,ALCANZÓ VACANTE
827326,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
656268,,,,,
645612,,,,,ALCANZÓ VACANTE
659256,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
557178,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
733098,,,,,
757594,,,,,
687228,,,,,
768394,,,,,ALCANZÓ VACANTE
701469,,,,,
799892,,,,,
687421,,,,,
766493,,,,,
823488,,,,,
796838,,,,,
749987,,,,,ALCANZÓ VACANTE
687948,,,,,
736787,,,,,
828112,,,,,
844543,,,,,
839450,,,,,
769854,,,,,ALCANZÓ VACANTE
751637,,,,,
737724,,,,,
706224,,,,,
783657,,,,,
748431,,,,,
687388,,,,,ALCANZÓ VACANTE
824199,,,,,
818907,,,,,
767571,,,,,
807065,,,,,
813760,,,,,
790653,,,,,
831304,,,,,ALCANZÓ VACANTE
749107,,,,,ALCANZÓ VACANTE
212147,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
732587,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
686903,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
764306,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
828798,,,,,
836413,,,,,ALCANZÓ VACANTE
835274,,,,,ALCANZÓ VACANTE
692789,,,,,ALCANZÓ VACANTE
612372,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
812909,,,,,ALCANZÓ VACANTE
798978,,,,,AUSENTE
740957,,,,,
731005,,,,,ALCANZÓ VACANTE
789236,,,,,
659113,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
575558,,,,,ALCANZÓ VACANTE
645312,,,,,
659666,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
564719,,,,,
566179,,,,,ALCANZÓ VACANTE
552073,,,,,ALCANZÓ VACANTE
719687,,,,,
755521,,,,,
695918,,,,,ALCANZÓ VACANTE
834383,,,,,ALCANZÓ VACANTE
170623,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
187539,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
138869,,,Articulo N° 68 del Reglamento de Admision 2026-II,Articulo N° 68 del Reglamento de Admision 2026-II,ALCANZÓ VACANTE
159670,,,,,
152383,,,,,
189521,,,,,
149871,,,,,
